ligand	receptor
C5	MTNR1A
C6orf15	DDR1
CALCA	ADCYAP1R1
CALCA	ADRB2
CALCA	ADRB3
CALCA	CALCR
CALCA	CALCRL
CALCA	GPR20
CALCA	GPR84
CALCA	PTH1R
CALCA	RAMP1
CALCA	RAMP2
CALCA	RAMP3
CALCA	TSHR
CALCA	VIPR1
CALCB	ADCYAP1R1
CALCB	ADRB2
CALCB	ADRB3
CALCB	CALCR
CALCB	CALCRL
CALCB	GPR20
CALCB	GPR84
CALCB	PTH1R
CALCB	RAMP1
CALCB	RAMP2
CALCB	RAMP3
CALCB	TSHR
CALCB	VIPR1
CALM1	ABCA1
CALM1	ADCY8
CALM1	ADCYAP1R1
CALM1	AQP6
CALM1	CACNA1C
CALM1	CALCR
CALM1	CNGA2
CALM1	CRHR1
CALM1	EGFR
CALM1	FAS
CALM1	GLP1R
CALM1	GLP2R
CALM1	GP6
CALM1	GRM3
CALM1	GRM4
CALM1	GRM5
CALM1	GRM7
CALM1	HMMR
CALM1	HTR2C
CALM1	INSR
CALM1	KCNN4
CALM1	KCNQ1
CALM1	KCNQ3
CALM1	KCNQ5
CALM1	MIP
CALM1	MYLK
CALM1	MYLK2
CALM1	OPRM1
CALM1	PDE1A
CALM1	PDE1B
CALM1	PDE1C
CALM1	PLPP6
CALM1	PTH2R
CALM1	PTPRA
CALM1	SCN10A
CALM1	SCN4A
CALM1	SCTR
CALM1	SELL
CALM1	TRPC3
CALM1	TRPC5
CALM1	VIPR1
CALM2	ABCA1
CALM2	ADCY8
CALM2	AQP6
CALM2	CACNA1C
CALM2	EGFR
CALM2	GP6
CALM2	GRM5
CALM2	GRM7
CALM2	INSR
CALM2	KCNQ1
CALM2	KCNQ3
CALM2	KCNQ5
CALM2	MYLK
CALM2	MYLK2
CALM2	PDE1A
CALM2	PDE1B
CALM2	PDE1C
CALM2	PLPP6
CALM2	SCN10A
CALM2	SCN4A
CALM2	SELL
CALM2	TRPC5
CALM3	ABCA1
CALM3	ADCY8
CALM3	AQP6
CALM3	EGFR
CALM3	GP6
CALM3	GRM5
CALM3	GRM7
CALM3	INSR
CALM3	KCNQ1
CALM3	KCNQ3
CALM3	KCNQ5
CALM3	MYLK
CALM3	MYLK2
CALM3	PDE1A
CALM3	PDE1B
CALM3	PDE1C
CALM3	PLPP6
CALM3	SCN10A
CALM3	SCN4A
CALM3	SELL
CALM3	TRPC5
CALR	HLA-F
CALR	ITGA2B
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	TSHR
CAMP	EGFR
CAMP	FPR2
CAMP	IGF1R
CAMP	P2RX7
CCK	CCKAR
CCK	CCKBR
CCL11	ACKR1
CCL11	ACKR2
CCL11	ACKR4
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR1
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR1
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CCR9
CCL13	CXCR3
CCL14	ACKR1
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	ADRA2A
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	GRM7
CCL16	HRH4
CCL16	MTNR1A
CCL17	ACKR1
CCL17	ACKR2
CCL17	CCR4
CCL17	CCR8
CCL17	ACKR1
CCL18	C14orf1
CCL19	ACKR2
CCL19	ACKR4
CCL19	ADRA2A
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL19	GRM7
CCL19	MTNR1A
CCL1	CCR8
CCL20	ADRA2A
CCL20	CCR6
CCL20	CXCR3
CCL20	GRM7
CCL20	MTNR1A
CCL21	ACKR2
CCL21	ACKR4
CCL21	ADRA2A
CCL21	CCR7
CCL21	GRM7
CCL21	MTNR1A
CCL22	ACKR2
CCL22	CCR4
CCL23	ACKR2
CCL23	ADRA2A
CCL23	CCR1
CCL23	GRM7
CCL23	MTNR1A
CCL24	ACKR2
CCL24	CCR2
CCL24	CCR3
CCL25	ACKR2
CCL25	ACKR4
CCL25	ADRA2A
CCL25	CCR10
CCL25	CCR9
CCL25	GRM7
CCL25	MTNR1A
CCL26	CCR1
CCL26	CCR2
CCL26	CCR3
CCL27	ACKR2
CCL27	ADRA2A
CCL27	CCR10
CCL27	GRM7
CCL27	MTNR1A
CCL28	ACKR2
CCL28	ADRA2A
CCL28	CCR10
CCL28	CCR3
CCL28	GRM7
CCL28	MTNR1A
CCL2	ACKR1
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL2	ACKR1
CCL3L1	ACKR2
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L1	CCR5
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR3
CCL3	CCR4
CCL3	CCR5
CCL4	ACKR2
CCL4	CCR1
CCL4	CCR3
CCL4	CCR5
CCL4	CCR8
CCL5	ACKR1
CCL5	ACKR2
CCL5	ACKR4
CCL5	ADRA2A
CCL5	CCR1
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CXCR3
CCL5	ACKR1
CCL5	GPR75
CCL5	GRM7
CCL5	MTNR1A
CCL5	SDC1
CCL5	SDC4
CCL7	ACKR1
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR1
CCL7	CCR10
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL7	ACKR1
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CCL8	ACKR1
CD14	ITGA4
CD14	ITGB1
CD14	ITGB2
CD14	RIPK1
CD14	TLR4
CD14	TLR6
CD24	SELP
CD274	PDCD1
CD34	SELL
CD34	SELP
CD36	TLR4
CD36	TLR6
CD40LG	CD40
CD40LG	ITGAM
CD40LG	ITGB2
CD40LG	TRAF3
CD48	CD2
CD55	ADGRE5
CD55	CR1
CD55	ADGRE2
CD58	CD2
CD5L	CD5
CD70	CD27
CD80	CD28
CD80	CTLA4
CD86	CD28
CD86	CTLA4
CDH1	CDH2
CDH1	EGFR
CDH1	ERBB3
CDH1	IGF1R
CDH1	ITGAE
CDH1	ITGB7
CDH1	KLRG1
CDH1	LRP5
CDH1	PTPRF
CDH1	PTPRM
CELA3B	CHRM3
CEL	CXCR4
CFC1	ACVR1B
CFC1	ACVR2A
CFC1	SMAD3
CFH	ITGAM
CFH	SELL
CGA	ADCYAP1R1
CGA	ADRB2
CGA	ADRB3
CGA	FSHR
CGA	GPR20
CGA	GPR84
CGA	LHCGR
CGA	PTH1R
CGA	RAMP2
CGA	RAMP3
CGA	SIRPA
CGA	TSHR
CGA	VIPR1
CGB3	LHCGR
CGB3	SIRPA
CGN	F11R
CGN	OCLN
CGN	TGFBR1
CGN	TGFBR2
CHAD	ITGA2
CHAD	ITGB1
CKLF	CCR4
CLCF1	CNTFR
CLCF1	CRLF1
CLCF1	IL6ST
CLCF1	LIFR
CLEC3A	CLEC10A
CLEC3A	CLEC2B
CNTF	CNTFR
CNTF	IL6R
CNTF	IL6ST
CNTF	LIFR
CNTN2	CNTN1
CNTN2	CNTNAP2
CNTN2	NRCAM
CNTN2	NRP1
CNTN4	PTPRG
COL11A1	DDR1
COL11A1	ITGA2
COL11A1	ITGB1
COL14A1	CD44
COL16A1	ITGB1
COL18A1	GPC1
COL18A1	GPC4
COL18A1	ITGA3
COL18A1	ITGA5
COL18A1	ITGB1
COL18A1	ITGB3
COL18A1	ITGB5
COL18A1	KDR
COL1A1	CD36
COL1A1	CD44
COL1A1	CD93
COL1A1	DDR1
COL1A1	DDR2
COL1A1	FLT4
COL1A1	ITGA1
COL1A1	ITGA11
COL1A1	ITGA2
COL1A1	ITGA5
COL1A1	ITGAV
COL1A1	ITGB1
COL1A1	TMPRSS6
COL1A2	CD36
COL1A2	CD44
COL1A2	CD93
COL1A2	FLT4
COL1A2	ITGA1
COL1A2	ITGA11
COL1A2	ITGA2
COL1A2	ITGA2B
COL1A2	ITGAV
COL1A2	ITGB1
COL1A2	ITGB3
COL2A1	DDR1
COL2A1	ITGA1
COL2A1	ITGA10
COL2A1	ITGA2
COL2A1	ITGA2B
COL2A1	ITGB1
COL2A1	MAG
COL2A1	OR1E1
COL2A1	TNFRSF10A
COL3A1	DDR1
COL3A1	DDR2
COL3A1	ITGA2
COL3A1	ITGB1
COL3A1	MAG
COL4A1	CD47
COL4A1	CD93
COL4A1	ITGA1
COL4A1	ITGA2
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB8
COL4A2	CD93
COL4A2	ITGB3
COL4A2	ITGB5
COL4A3	CD47
COL4A3	CD93
COL4A3	ITGA1
COL4A3	ITGA2
COL4A3	ITGA3
COL4A3	ITGAV
COL4A3	ITGB1
COL4A3	ITGB3
COL4A4	CD47
COL4A4	CD93
COL4A4	ITGA1
COL4A4	ITGA2
COL4A4	ITGAV
COL4A4	ITGB1
COL4A4	ITGB3
COL4A5	CD47
COL4A5	CD93
COL4A5	ITGA1
COL4A5	ITGA2
COL4A5	ITGAV
COL4A5	ITGB1
COL4A6	CD47
COL4A6	CD93
COL4A6	ITGA1
COL4A6	ITGA2
COL4A6	ITGAV
COL4A6	ITGB1
COL5A1	ITGA1
COL5A1	ITGB1
COL5A1	SDC3
COL5A2	DDR1
COL5A2	ITGA1
COL5A2	ITGB1
COL5A3	SDC3
COL6A1	ITGA1
COL6A1	ITGA2
COL6A1	ITGA6
COL6A1	ITGB1
COL6A2	ITGA1
COL6A2	ITGA2
COL6A2	ITGB1
COL6A3	ITGA1
COL6A3	ITGA2
COL6A3	ITGB1
COL7A1	ITGA2
COL7A1	ITGB1
COL8A1	ITGA1
COL8A1	ITGA2
COL9A1	ITGB1
COL9A1	MAG
COL9A2	ITGB1
COL9A2	MAG
COL9A3	ITGB1
COL9A3	MAG
COLQ	MUSK
COMP	ITGB1
COMP	ITGB3
CORT	ADRA2A
CORT	GHSR
CORT	GRM7
CORT	MRGPRX2
CORT	MTNR1A
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CPAMD8	SCTR
CP	SLC40A1
CRH	ADCYAP1R1
CRH	ADRB2
CRH	ADRB3
CRH	CRHR1
CRH	CRHR2
CRH	GPR20
CRH	GPR84
CRH	MC2R
CRH	PTH1R
CRH	RAMP2
CRH	RAMP3
CRH	TSHR
CRH	VIPR1
CRP	OLR1
CSF1	CSF1R
CSF2	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF2	CSF3R
CSF2	IL3RA
CSF2	ITGA9
CSF2	ITGB1
CSF2	SDC2
CSF3	CSF1R
CSF3	CSF3R
CSH1	PRLR
CSH2	PRLR
CSHL1	GHR
CSHL1	PRLR
CTF1	IL6ST
CTF1	LIFR
CTGF	ERBB4
CTGF	ITGA5
CTGF	ITGAM
CTGF	ITGB2
CTGF	LRP1
CTGF	LRP6
CTGF	NTRK1
CTHRC1	FZD3
CTHRC1	FZD5
CTHRC1	FZD6
CUBN	LRP2
CX3CL1	CX3CR1
CXCL10	ADRA2A
CXCL10	CCR3
CXCL10	CXCR3
CXCL10	GRM7
CXCL10	MTNR1A
CXCL10	SDC4
CXCL11	ACKR1
CXCL11	ACKR3
CXCL11	ADRA2A
CXCL11	CCR3
CXCL11	CXCR3
CXCL11	GRM7
CXCL11	MTNR1A
CXCL12	ACKR3
CXCL12	ADRA2A
CXCL12	CCR4
CXCL12	CD4
CXCL12	CXCR3
CXCL12	CXCR4
CXCL12	GRM7
CXCL12	ITGB1
CXCL12	MTNR1A
CXCL12	SDC4
CXCL13	ACKR4
CXCL13	ADRA2A
CXCL13	CCR10
CXCL13	CXCR3
CXCL13	CXCR5
CXCL13	GRM7
CXCL13	HTR2A
CXCL13	MTNR1A
CXCL13	OPRD1
CXCL16	ADRA2A
CXCL16	CXCR6
CXCL16	GRM7
CXCL16	MTNR1A
CXCL1	ACKR1
CXCL1	ADRA2A
CXCL1	CXCR1
CXCL1	CXCR2
CXCL1	ACKR1
CXCL1	GRM7
CXCL1	MTNR1A
CXCL2	ADRA2A
CXCL2	CXCR1
CXCL2	CXCR2
CXCL2	GRM7
CXCL2	MTNR1A
CXCL2	XCR1
CXCL3	ADRA2A
CXCL3	CXCR1
CXCL3	CXCR2
CXCL3	GRM7
CXCL3	MTNR1A
CXCL5	ACKR1
CXCL5	ADRA2A
CXCL5	CXCR1
CXCL5	CXCR2
CXCL5	ACKR1
CXCL5	GRM7
CXCL5	MTNR1A
CXCL6	ACKR1
CXCL6	ADRA2A
CXCL6	CXCR1
CXCL6	CXCR2
CXCL6	GRM7
CXCL6	MTNR1A
CXCL8	ACKR1
CXCL8	ADRA2A
CXCL8	CXCR1
CXCL8	CXCR2
CXCL8	GRM7
CXCL8	MTNR1A
CXCL9	ADRA2A
CXCL9	CCR3
CXCL9	CXCR3
CXCL9	GRM7
CXCL9	MTNR1A
CYR61	CAV1
CYR61	ITGA5
CYR61	ITGAM
CYR61	ITGAV
CYR61	ITGB2
CYR61	ITGB3
CYR61	ITGB5
DCN	EGFR
DCN	ERBB4
DCN	MET
DEFB103A	CCR2
DEFB103A	CCR6
DEFB106A	CCR2
DEFB1	CCR6
DEFB4A	CCR6
DEFB4A	TLR4
DHH	BOC
DHH	CDON
DHH	HHIP
DHH	PTCH1
DHH	PTCH2
DKK1	KREMEN1
DKK1	KREMEN2
DKK1	LRP5
DKK1	LRP6
DKK2	KREMEN2
DKK2	LRP6
DLK2	NOTCH1
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH4
DMP1	ITGB3
DSCAM	DCC
DSPP	ITGB1
DUSP18	CD151
DUSP18	ITGA1
DUSP18	ITGA2
DUSP18	ITGA3
DUSP18	ITGA6
DUSP18	ITGA7
DUSP18	ITGB1
DUSP18	ITGB4
DUSP18	RPSA
EBI3	IL27RA
EBI3	IL6ST
ECM1	CACHD1
EDA	EDA2R
EDA	EDAR
EDIL3	ITGAV
EDIL3	ITGB5
EDN1	EDNRA
EDN1	EDNRB
EDN1	ADGRL4
EDN1	KEL
EDN2	EDNRA
EDN2	EDNRB
EDN2	KEL
EDN3	EDNRA
EDN3	EDNRB
EDN3	KEL
EFEMP1	EGFR
EFEMP2	AQP1
EFEMP2	CATSPER1
EFEMP2	LINGO1
EFEMP2	PLSCR4
EFNA1	EPHA1
EFNA1	EPHA10
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA6
EFNA1	EPHA7
EFNA1	EPHA8
EFNA1	EPHB1
EFNA1	EPHB6
EFNA2	EPHA1
EFNA2	EPHA10
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA10
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA6
EFNA3	EPHA7
EFNA3	EPHA8
EFNA3	EPHB1
EFNA3	EPHB6
EFNA4	EPHA1
EFNA4	EPHA10
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA6
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA1
EFNA5	EPHA10
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA8
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHB6
EFNB1	EPHA6
EFNB1	EPHB1
EFNB1	EPHB2
EFNB1	EPHB3
EFNB1	EPHB4
EFNB1	EPHB6
EFNB1	ERBB2
EFNB2	EPHA3
EFNB2	EPHA4
EFNB2	EPHA6
EFNB2	EPHB1
EFNB2	EPHB2
EFNB2	EPHB3
EFNB2	EPHB4
EFNB2	EPHB6
EFNB2	GRM1
EFNB2	GRM5
EFNB2	PECAM1
EFNB2	RHBDL2
EFNB3	EPHA4
EFNB3	EPHB1
EFNB3	EPHB2
EFNB3	EPHB3
EFNB3	EPHB4
EFNB3	EPHB6
EFNB3	RHBDL2
EGFL8	NCR3
EGF	ADRB2
EGF	CAV1
EGF	EGFR
EGF	ERBB2
EGF	ERBB3
EGF	ERBB4
EGF	FSHR
EGF	LDLR
EGF	LRP2
EPGN	EGFR
EPO	EPOR
EREG	EGFR
EREG	ERBB2
EREG	ERBB3
EREG	ERBB4
EXOC3-AS1	TRAF2
F10	F3
F10	ITGAM
F10	ITGB2
F11	GP1BA
F12	CD93
F12	GP1BA
F13A1	ITGA4
F13A1	ITGA9
F13A1	ITGB1
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
F2	GP1BA
F2	GP1BB
F2	GP9
F2	ITGA2B
F2	THBD
F7	F3
F8	ASGR2
F8	LDLR
F8	LRP1
F9	LRP1
FABP5	RXRA
FARP2	PLXNA1
FARP2	PLXNA2
FARP2	PLXNA3
FARP2	PLXNA4
FASLG	FAS
FASLG	TNFRSF1A
FASLG	TNFRSF6B
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGA5
FBN1	ITGAV
FBN1	ITGB1
FBN1	ITGB3
FBN1	ITGB6
FCN2	LRP1
FGA	CDH5
FGA	ITGA2B
FGA	ITGA5
FGA	ITGAD
FGA	ITGAM
FGA	ITGAV
FGA	ITGAX
FGA	ITGB1
FGA	ITGB2
FGA	ITGB3
FGA	PLAUR
FGA	TLR4
FGB	ITGA2B
FGB	ITGA5
FGB	ITGAM
FGB	ITGAV
FGB	ITGB1
FGB	ITGB2
FGB	ITGB3
FGB	TLR4
FGF10	FGFR1
FGF10	FGFR2
FGF11	FGFR1
FGF11	FGFR2
FGF11	FGFR3
FGF11	FGFR4
FGF12	FGFR1
FGF12	FGFR2
FGF12	FGFR3
FGF12	FGFR4
FGF13	EGFR
FGF13	FGFR1
FGF13	FGFR2
FGF13	FGFR3
FGF13	FGFR4
FGF13	SCN5A
FGF13	SCN8A
FGF14	FGFR1
FGF14	FGFR2
FGF14	FGFR3
FGF14	FGFR4
FGF16	FGFR1
FGF16	FGFR2
FGF16	FGFR3
FGF16	FGFR4
FGF17	FGFR1
FGF17	FGFR2
FGF17	FGFR3
FGF17	FGFR4
FGF18	FGFR1
FGF18	FGFR2
FGF18	FGFR3
FGF18	FGFR4
FGF19	FGFR1
FGF19	FGFR2
FGF19	FGFR3
FGF19	FGFR4
FGF19	KLB
FGF1	CD44
FGF1	EGFR
FGF1	FGFR1
FGF1	FGFR2
FGF1	FGFR3
FGF1	FGFR4
FGF1	FGFRL1
FGF1	NRP1
FGF20	FGFR1
FGF20	FGFR2
FGF20	FGFR3
FGF20	FGFR4
FGF21	FGFR1
FGF21	FGFR2
FGF21	FGFR3
FGF21	FGFR4
FGF22	FGFR1
FGF22	FGFR2
FGF23	FGFR1
FGF23	FGFR2
FGF23	FGFR3
FGF23	FGFR4
FGF23	PHEX
FGF2	CD44
FGF2	FGFR1
FGF2	FGFR2
FGF2	FGFR3
FGF2	FGFR4
FGF2	FGFRL1
FGF2	GPC4
FGF2	NRP1
FGF2	SDC1
FGF2	SDC2
FGF2	SDC3
FGF2	SDC4
FGF3	FGFR1
FGF3	FGFR2
FGF3	FGFR3
FGF3	FGFR4
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF4	NRP1
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR3
FGF6	FGFR4
FGF6	SDC4
FGF7	FGFR1
FGF7	FGFR2
FGF7	FGFR3
FGF7	FGFR4
FGF7	NRP1
FGF8	FGFR1
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGG	ITGA2B
FGG	ITGA5
FGG	ITGAV
FGG	ITGB1
FGG	ITGB2
FGG	ITGB3
FGG	TLR4
FGL1	EGFR
FLT3LG	FLT3
FN1	C5AR1
FN1	CD44
FN1	CD79A
FN1	COL13A1
FN1	FLT4
FN1	IL17RC
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGA6
FN1	ITGA8
FN1	ITGA9
FN1	ITGAV
FN1	ITGB1
