lr.cell.name,lr.gene.name,obs.xy.diff,null.diff.sd,pvalue,stage,adj.p,Welch.t.stat,Welch.t.sd,Welch.t.p,adj.t.p,Ligand_s1,Ligand_s2,Ligand_s3,Ligand_s4,Ligand_s5,Ligand_s6,Ligand_s7,Ligand_s8,Ligand_s9,Ligand_s10,Ligand_s11,Ligand_s12,Ligand_s13,Ligand_s14,Ligand_s15,Ligand_s16,Ligand_s17,Ligand_s18,Ligand_s19,Ligand_s20,Ligand_s21,Receptor_s1,Receptor_s2,Receptor_s3,Receptor_s4,Receptor_s5,Receptor_s6,Receptor_s7,Receptor_s8,Receptor_s9,Receptor_s10,Receptor_s11,Receptor_s12,Receptor_s13,Receptor_s14,Receptor_s15,Receptor_s16,Receptor_s17,Receptor_s18,Receptor_s19,Receptor_s20,Receptor_s21,TX1.sd.limma.ligand,TX2.sd.limma.ligand,TX1.sd.limma.receptor,TX2.sd.limma.receptor
Endothelial cells-Endothelial cells,PDGFB-LRP1,12.4912,2.1699,8.26E-07,2,0.002508018,5.2855,2.3633,0.001644,0.085337223,4.330536303,4.5569966,6.138904822,5.6703044,4.402469656,6.030577977,5.0410422,6.307353434,6.582592946,6.056394266,6.802827014,6.385353215,5.663570112,5.173471825,5.863280652,6.136415435,6.009294914,6.314879512,6.139692786,5.602775874,5.87341575,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.548147693,0.548147693,0.456093707,0.456093707
Fibroblasts-Fibroblasts,ECM1-CACHD1,12.5528,2.4759,8.72E-07,2,0.002508018,6.3983,1.9619,0.001249,0.075165424,9.442790701,11.21477359,10.29732201,10.00539847,10.09043952,11.73480262,12.15382239,11.90985954,11.3197714,11.22548297,11.71306395,11.28301338,11.04110167,11.46182789,11.32801441,11.60149096,11.17329824,11.257818,11.15369018,11.47183934,10.82715952,7.964850473,7.239405065,7.272478337,7.09085192,7.070144605,7.253879769,7.446136396,7.517233801,8.076138931,8.167999985,7.418019027,7.877138859,7.667757144,7.795893981,7.322328411,7.274889913,7.756717583,7.533114672,7.715328708,7.683903588,7.870283376,0.427791583,0.427791583,0.318732378,0.318732378
Smooth muscle cells-Endothelial cells,PSAP-LRP1,14.5129,2.5267,8.94E-07,2,0.002508018,6.0163,2.4123,0.000189,0.031595825,9.159476582,10.05575141,9.743452494,10.32782704,10.28781036,10.46493559,10.07253494,9.892994642,9.927215991,10.30815329,10.06617692,10.18250189,10.27327969,9.712374375,9.980973708,10.17615739,10.11195122,9.912490999,10.40610061,10.15259531,10.060543,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.295360132,0.295360132,0.456093707,0.456093707
Smooth muscle cells-Endothelial cells,LRPAP1-LRP1,11.7085,2.044,1.03E-06,2,0.002782154,5.3769,2.1775,0.000934,0.065993186,7.579551047,8.303093547,7.542087892,8.830573492,8.338369761,8.314358987,8.067364475,8.49213308,8.209603408,8.321953783,8.273170358,8.163731827,8.45575554,8.046270229,8.100514494,8.264939675,8.177822406,8.097103328,8.550907891,8.388615651,8.110433491,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.300752261,0.300752261,0.456093707,0.456093707
Macrophages-Endothelial cells,PDCD1LG2-PDCD2,15.0034,2.4185,1.20E-06,2,0.003098566,4.7318,3.1708,0.005423,0.160800922,0,1.772872628,1.900398271,0,0,3.085460137,1.444467981,2.766387779,2.539566546,2.118447455,3.706945995,3.420957468,2.516222745,3.115640545,3.332629539,3.722467672,2.972566604,2.591898872,2.971988464,3.513313671,2.49734828,6.909495938,6.897540046,6.494273674,6.514600942,6.668764318,6.860863073,7.131051846,6.749946402,6.856030096,7.280398555,6.627211254,6.662412377,6.578737182,6.50795194,6.970845108,6.794397267,6.979583441,6.940702963,7.142627749,7.130599129,7.19726032,0.690012667,0.690012667,0.244132465,0.244132465
Fibroblasts-Endothelial cells,SERPING1-LRP1,21.3732,3.6222,1.27E-06,2,0.003143921,6.4235,3.3273,0.000195,0.031612538,12.2944151,13.35295624,11.9984033,13.65376612,13.08928119,13.09078291,13.23016293,13.159931,13.0006141,13.78622176,12.93693131,14.08692005,13.7673026,13.4070682,13.73368438,13.53670145,14.06535397,13.6639356,13.54262215,14.09856624,13.92936804,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.474891857,0.474891857,0.456093707,0.456093707
Macrophages-T cells,PDCD1LG2-PDCD2,9.7386,1.6494,1.42E-06,2,0.003394156,4.4114,2.2076,0.006913,0.181935199,0,1.772872628,1.900398271,0,0,3.085460137,1.444467981,2.766387779,2.539566546,2.118447455,3.706945995,3.420957468,2.516222745,3.115640545,3.332629539,3.722467672,2.972566604,2.591898872,2.971988464,3.513313671,2.49734828,3.660209206,4.527233561,4.711025359,4.529678352,4.288445601,4.128293438,4.65798843,4.448929118,4.420405947,4.051077478,4.755820144,4.485875563,4.776181242,4.568266517,4.739071929,4.40398426,4.610043578,4.549833737,4.770242938,4.585318252,4.553736073,0.690012667,0.690012667,0.264763609,0.264763609
Endothelial cells-Endothelial cells,HSPG2-LRP1,15.4853,2.6831,1.88E-06,2,0.004339519,5.0782,3.0494,0.002552,0.108800968,8.388156222,8.666335065,10.41579914,9.822257423,8.339775741,9.953032666,9.600819757,10.46239529,8.803563041,9.43761137,9.927047829,10.1487474,9.608147349,10.14202791,9.434320531,9.36325901,9.719839825,9.898068382,10.10528797,8.98892358,9.511302361,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.565885875,0.565885875,0.456093707,0.456093707
Endothelial cells-Fibroblasts,ECM1-CACHD1,14.2589,2.4351,2.31E-06,2,0.004999517,4.9462,2.8828,0.004056,0.139533984,3.149391772,5.499143246,4.523457252,3.621031045,4.128043506,6.614029431,6.536436253,5.596679998,6.281275854,5.643137141,5.641732293,6.165834271,6.198427538,4.906229026,5.502726006,5.46083816,6.49872206,5.560208452,5.782957109,5.896759018,5.419725499,7.964850473,7.239405065,7.272478337,7.09085192,7.070144605,7.253879769,7.446136396,7.517233801,8.076138931,8.167999985,7.418019027,7.877138859,7.667757144,7.795893981,7.322328411,7.274889913,7.756717583,7.533114672,7.715328708,7.683903588,7.870283376,0.577263453,0.577263453,0.318732378,0.318732378
Macrophages-Endothelial cells,IGF1-INSR,20.6818,3.7031,2.32E-06,2,0.004999517,3.518,5.8789,0.020432,0.288549272,2.05709815,3.837474526,5.784415397,2.664899387,3.748408032,4.8619942,5.718326881,4.783072693,6.270976075,5.853458995,6.639971509,5.359518394,6.042454319,5.410513855,6.103411872,7.145108555,6.281886752,5.008060389,6.296272353,5.558864772,6.019900069,6.376814872,6.80180428,8.087074594,7.001888394,7.438639194,8.470223369,6.841781418,8.88430742,7.336743121,8.120364032,8.253122655,8.483535725,7.884288476,8.526177015,7.535379441,8.40160285,8.802586344,8.878649725,7.878136987,7.809521786,7.618158836,0.844558723,0.844558723,0.584978138,0.584978138
Macrophages-Endothelial cells,PSAP-LRP1,15.4425,2.7915,2.51E-06,2,0.005223743,6.2867,2.4564,0.000176,0.030444697,9.86671921,10.80316881,10.21996566,10.65185094,10.63776289,11.22715069,10.77185981,10.35833136,9.94822019,10.36030915,11.57796783,10.45425532,10.63654976,10.81149232,10.70988854,10.31094169,10.31236996,10.77815275,11.05326344,10.85991308,10.70684533,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.391560477,0.391560477,0.456093707,0.456093707
Lymphatic-Fibroblasts,CALM2-PDE1A,10.2115,1.8304,3.31E-06,2,0.006672881,5.5157,1.8513,0.001211,0.074359161,6.378372202,7.170267991,6.620906474,7.093787411,6.750667404,7.506156492,7.082548951,7.196108779,6.96687379,7.398255608,7.1434124,7.527362643,7.63749281,7.293070488,7.40543605,6.95479325,7.155548214,6.649361279,7.15524561,7.230024275,6.801073029,8.161149959,8.298545401,8.138365738,8.551206856,8.229243142,9.047995363,9.285383931,8.952823987,9.709936762,8.939032188,9.091857741,9.897249629,9.525100587,8.428296962,9.363701275,9.018006176,9.307500704,9.768397929,9.137675874,9.295405552,9.252242642,0.279481847,0.279481847,0.349560824,0.349560824
Fibroblasts-Macrophages,LIPC-LRP1,17.1684,3.158,4.54E-06,2,0.008866901,3.3479,5.1281,0.02734,0.326914655,0,3.80359808,3.344187881,0,2.820199425,3.798985005,5.156926563,4.610288449,4.52147672,3.997516081,4.490324785,4.661132514,4.503309938,4.816000474,4.091188065,4.698426399,4.359128449,4.814218672,3.964303674,4.330388946,4.090998586,4.880360199,6.527547081,5.894567402,6.822455433,5.137857476,6.847936585,6.415481437,6.432993406,6.372263143,6.036000035,6.51476453,7.322017072,6.93735847,5.962113627,6.787881592,6.457202037,6.723785969,5.708599829,7.052989211,6.757059613,6.461417948,0.874952203,0.874952203,0.524543351,0.524543351
Fibroblasts-Smooth muscle cells,LIPC-LRP1,17.4636,3.408,5.09E-06,2,0.009658676,3.0087,5.8044,0.03846,0.376786535,0,3.80359808,3.344187881,0,2.820199425,3.798985005,5.156926563,4.610288449,4.52147672,3.997516081,4.490324785,4.661132514,4.503309938,4.816000474,4.091188065,4.698426399,4.359128449,4.814218672,3.964303674,4.330388946,4.090998586,6.682960463,6.832470305,7.29237461,6.999997358,6.654010633,7.559978965,6.773334867,7.788392619,7.466065727,7.288426687,7.348872264,7.256386231,7.099104729,6.666037187,6.740026853,6.291714893,6.86334804,6.480979316,7.193136474,7.16144045,7.220897952,0.874952203,0.874952203,0.382553177,0.382553177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
