lr.cell.name,lr.gene.name,obs.xy.diff,null.diff.sd,pvalue,stage,adj.p,Welch.t.stat,Welch.t.sd,Welch.t.p,adj.t.p,Ligand_s1,Ligand_s2,Ligand_s3,Ligand_s4,Ligand_s5,Ligand_s6,Ligand_s7,Ligand_s8,Ligand_s9,Ligand_s10,Ligand_s11,Ligand_s12,Ligand_s13,Ligand_s14,Ligand_s15,Ligand_s16,Ligand_s17,Ligand_s18,Ligand_s19,Ligand_s20,Receptor_s1,Receptor_s2,Receptor_s3,Receptor_s4,Receptor_s5,Receptor_s6,Receptor_s7,Receptor_s8,Receptor_s9,Receptor_s10,Receptor_s11,Receptor_s12,Receptor_s13,Receptor_s14,Receptor_s15,Receptor_s16,Receptor_s17,Receptor_s18,Receptor_s19,Receptor_s20,TX1.sd.limma.ligand,TX2.sd.limma.ligand,TX1.sd.limma.receptor,TX2.sd.limma.receptor
SCGB3A2+-SCGB3A2+,TNC-ITGB6,10.7696,1.8158,6.70E-06,2,0.001997542,6.3887,1.6857,6.00E-06,0.003466338,0,0,0,0,0,2.3813768,0,0,0,3.145370536,2.528828773,2.686542297,2.289058089,3.941172713,2.157138009,2.170656251,2.592633249,2.548746556,3.890279078,1.599241987,2.940802334,3.478008025,4.65818011,3.507634572,4.213968111,3.768820793,0,4.526394633,0,5.273178815,3.39808484,4.53516714,4.15746954,4.912934396,5.082054045,4.228189198,3.774982861,3.410702549,4.840793241,3.588773803,0.744289271,0.744289271,1.282482408,1.282482408
Macrophages-Macrophages,LGALS1-ITGB1,21.0738,3.8715,6.77E-06,2,0.002003819,5.4041,3.8996,4.10E-05,0.010850011,12.32484207,12.77562571,11.54730104,13.36708542,13.3220813,12.99122466,13.5985812,11.16968187,12.73396516,13.27013698,14.7789458,14.02241863,13.15611368,12.69169684,14.4480576,13.83680923,14.02095468,13.94283441,13.833925,14.50395572,9.982842693,9.666199035,10.38448942,10.08658669,9.930135269,9.848711793,9.777268696,10.24741066,9.224950062,10.83911736,11.20208896,10.21724495,10.49009646,9.822139654,10.62959693,10.3674518,10.58325939,10.55043468,10.72711254,10.49831048,0.712971987,0.712971987,0.341334943,0.341334943
Myofibroblasts-Macrophages,PLAU-IGF2R,24.1818,4.2886,6.77E-06,2,0.002003819,5.8433,4.1384,1.70E-05,0.006836389,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,7.853367118,7.967938136,8.755069526,8.706703086,7.514739534,8.456907512,8.10905927,9.123281738,7.484760448,8.534558058,8.910147883,9.031529681,8.633718487,9.236669768,8.603136177,8.167863412,8.88580895,8.664942698,8.891854488,8.468547987,1.082833392,1.082833392,0.436895526,0.436895526
Myofibroblasts-Ciliated,WNT5A-ADRB2,11.7,2.1294,6.90E-06,2,0.002036957,5.7877,2.0215,0.000106,0.018397504,0,0,0,0,1.024640866,0.858667205,0,0,0,3.416887203,2.106022044,1.933012385,3.946382885,3.653590527,2.761004887,2.444119947,4.024849869,2.581983654,0,1.985204697,4.279446794,4.800082376,5.733103973,3.263059716,4.376425439,2.311008096,0,3.982850016,3.820808437,5.30130269,4.246267467,4.534831512,4.978442676,5.694047479,6.403753281,4.072638033,3.941751153,4.013363421,4.047984583,3.259510414,0.89852251,0.89852251,1.28191241,1.28191241
Endothelial Cells-Endothelial Cells,FN1-NT5E,15.9638,3.0141,7.01E-06,2,0.002063997,4.7168,3.3845,0.000258,0.029698962,7.351760306,7.110225855,7.699350621,6.588895999,6.894913379,7.086551928,5.998875323,2.664648791,5.415615645,6.926439732,8.867585006,8.783524462,7.595231913,6.920228181,7.706702201,7.866488005,6.44491269,9.011304689,7.437563715,9.282201617,3.813737669,4.256697225,5.060334377,4.719841136,3.493334195,4.402137749,3.514415401,3.843162128,4.042866899,5.038541913,5.89308023,5.121846563,5.839958597,5.609397213,4.923685143,4.832964925,5.155648324,5.000843437,5.585118503,5.816330303,1.233953311,1.233953311,0.460356501,0.460356501
AT2-AT2,TNC-CNTN1,13.7098,2.3439,7.24E-06,2,0.00212649,6.2033,2.2101,3.20E-05,0.009465769,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,1.759401962,1.340442814,2.865320276,1.599668993,1.969727264,1.763159049,2.47275506,0,0,0,2.623523142,3.244450822,4.327529514,2.559452201,2.778952068,2.780263312,2.617356976,2.558231124,3.555269933,3.127490152,1.091172797,1.091172797,1.012089263,1.012089263
Myofibroblasts-Endothelial Cells,PLAU-ITGB1,23.4855,4.3161,7.33E-06,2,0.002137911,5.2912,4.4386,7.20E-05,0.015016881,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,8.69135407,8.635984025,8.628340736,9.061129393,8.821800883,7.977796435,8.642251766,8.82110948,8.838368814,9.194698296,9.356811723,8.363054843,8.506145446,8.387957761,8.551626509,8.655799096,8.889225998,8.495591754,9.016967302,8.969455926,1.082833392,1.082833392,0.318009933,0.318009933
Myofibroblasts-Macrophages,WNT5A-ADRB2,15.3047,2.7876,7.30E-06,2,0.002137911,6.0192,2.5427,4.60E-05,0.011552102,0,0,0,0,1.024640866,0.858667205,0,0,0,3.416887203,2.106022044,1.933012385,3.946382885,3.653590527,2.761004887,2.444119947,4.024849869,2.581983654,0,1.985204697,7.306063547,7.279150067,7.760980672,5.900828836,6.920153514,5.809204839,7.40555517,6.26510449,6.701380563,6.204583005,5.457954395,5.674298241,7.07611984,6.455171997,7.202077356,7.586332622,5.671373561,6.230527811,5.003759426,5.34006853,0.89852251,0.89852251,0.768188693,0.768188693
Endothelial Cells-Smooth Muscle Cells,PSAP-SORT1,-17.52,3.1873,7.36E-06,2,0.002139781,-5.4706,3.2026,3.50E-05,0.009855664,8.199494203,8.188421757,8.117038367,8.571797825,8.471771369,8.027855272,8.878405556,8.99729142,8.586804776,8.05004429,7.625941371,8.19694141,8.455466558,8.00375392,8.017067907,8.16638152,8.135112431,8.391320942,6.790234813,8.128645043,4.031326249,3.646966643,3.639784159,4.158692966,2.869544058,4.135234075,3.770908199,4.758183022,5.020526147,1.495247176,1.482015823,2.056850455,2.903568034,2.958692223,2.396292696,2.119967655,3.724352269,1.229148871,0,1.785345116,0.403580659,0.403580659,0.84889783,0.84889783
Myofibroblasts-Ciliated,PLAU-ITGA3,17.9665,3.1573,7.45E-06,2,0.00216126,5.9472,3.021,2.20E-05,0.007892741,0,1.346162853,0,1.464127336,3.629820734,0.858667205,0.870896647,0,0,3.602536607,2.639917054,2.921539023,3.735178008,4.071888881,2.761004887,2.205948685,4.832908536,4.472318957,5.389646884,2.790433564,7.021676167,6.636389207,6.584770105,5.986879104,6.066277363,6.462224706,5.427389631,6.229869227,6.47664161,6.04805439,7.117201359,6.769894556,6.784619045,6.713146851,7.06726186,6.572521321,6.188426053,6.372937197,6.422396477,6.689757959,1.082833392,1.082833392,0.390284212,0.390284212
