"lr.cell.name","lr.gene.name","obs.xy.diff","null.diff.sd","pvalue","stage","adj.p","Welch.t.stat","Welch.t.sd","Welch.t.p","adj.t.p","limma.Lg.p","limma.Rg.p","limma.Lg.logFC","limma.Rg.logFC","adj.limma.Lg.p","adj.limma.Rg.p"
"T cells-T cells","CD99-PILRA",-32.3833,5.4926,0.000026593196,2,0.000582238195,-3.5143,9.2147,0.152896,0.385511883993,0.186557035254,0.001440626273,-0.2787,-3.3635,0.652441012377,0.060968462845
"T cells-Macrophages","ADAM15-ITGA9",4.8811,0.9657,0.000022732615,2,0.000503561866,15.5362,0.3142,0.000047,0.011021230769,0.657686347506,0.000091004358,0.301,1.4808,0.910024514963,0.011608095679
"T cells-Macrophages","ANXA1-DYSF",44.631,4.9542,0,2,0,7.583,5.8856,0.04733,0.252692393799,0.724963354699,0.000047121193,0.1501,4.8865,0.918020783175,0.007800333714
"T cells-Macrophages","ARF1-CHRM3",-27.3765,3.4411,0.000000000001,2,0.000000000058,-4.0037,6.8378,0.150195,0.382906384698,0.049409657055,0.000186370923,-0.4416,-3.349,0.41225545859,0.018081923893
"T cells-Macrophages","B2M-LILRB1",24.6579,5.4059,0.000378109658,2,0.006150549428,6.8748,3.5867,0.001609,0.05947654386,0.38219001008,0.003532500109,0.1532,1.7578,0.848188517996,0.10251411318
"T cells-Macrophages","B2M-LILRB2",49.8839,7.4545,0.000000000134,2,0.000000006374,3.5126,14.2014,0.171021,0.408549196932,0.38219001008,0.000487153195,0.1532,3.6187,0.848188517996,0.031682549845
"T cells-Macrophages","CALCB-ADRB2",4.6721,0.7196,0.000000066703,2,0.000002330961,8.7282,0.5353,0.000949,0.044820880263,0.000008820474,0.025283638325,1.5,-1.4173,0.002659465536,0.293882559219
"T cells-Macrophages","CALCB-GPR84",5.8199,0.6943,0,2,0,13.7758,0.4225,0.000161,0.0179095,0.000008820474,0.000618009133,1.5,3.109,0.002659465536,0.036766955231
"T cells-Macrophages","CALM1-FAS",26.1063,4.0152,0.000000096517,2,0.000003276912,4.3312,6.0275,0.111773,0.334776794767,0.274739666218,0.000613661577,0.1459,2.5632,0.758820705608,0.036568703044
"T cells-Macrophages","CALM1-SELL",44.2322,7.9496,0.000011413182,2,0.000271093346,7.4182,5.9626,0.000845,0.042272423184,0.274739666218,0.001272283882,0.1459,4.3866,0.758820705608,0.056693929221
"T cells-Macrophages","CALM2-PDE1B",-12.6032,2.8931,0.000311527661,2,0.005216741136,-3.0402,4.1456,0.152481,0.385236021074,0.029649051622,0.005734132628,-0.2875,-1.4049,0.319547929699,0.134385161584
"T cells-Macrophages","CALM2-SELL",35.4172,6.6588,0.000006709358,2,0.000166890621,6.9348,5.1072,0.001222,0.050352456322,0.029649051622,0.001272283882,-0.2875,4.3866,0.319547929699,0.056693929221
